Username,Tweet,Created_Date,Sentiment_Score
AhmadAbdelazizM,@FT The game of war with Russia backfired,2022-05-05 11:54:21+00:00,"{'neg': 0.358, 'neu': 0.642, 'pos': 0.0, 'compound': -0.5994}"
czerwonyrower,"RT @TsurkanKate: I'm getting sick and tired of these ""Russia has shown restraint"" op-eds. How the fuck is Russian soldiers r*ping children…",2022-05-05 11:54:23+00:00,"{'neg': 0.338, 'neu': 0.662, 'pos': 0.0, 'compound': -0.8658}"
elektrykk11,RT @MotolkoHelp: — War criminal Lukashenka: “We categorically do not accept any war. We have done and are doing everything so that there is…,2022-05-05 11:54:19+00:00,"{'neg': 0.291, 'neu': 0.613, 'pos': 0.096, 'compound': -0.746}"
LekannLawal,"RT @jcokechukwu: As we watch the Azovstal steel plant burn to the ground, possibly &amp; sadly with those Ukrainian &amp; Azov fighters trapped the…",2022-05-05 11:54:23+00:00,"{'neg': 0.261, 'neu': 0.739, 'pos': 0.0, 'compound': -0.7506}"
IndyKramerica,"RT @wyattreed13: File under: “the US is definitely not engaged in a proxy war with Russia, we swear”",2022-05-05 11:54:16+00:00,"{'neg': 0.258, 'neu': 0.629, 'pos': 0.113, 'compound': -0.5358}"
Le_Sian,RT @IvoHDaalder: Our goal in Ukraine must be to help defeat Russia's brutal invasion of the country so that Ukraine can be a free and indep…,2022-05-05 11:54:15+00:00,"{'neg': 0.202, 'neu': 0.627, 'pos': 0.171, 'compound': -0.2732}"
JeanclaudeVill4,"RT @KyivIndependent: These are the indicative estimates of Russia’s combat losses as of May 5, according to the Armed Forces of Ukraine. ht…",2022-05-05 11:54:18+00:00,"{'neg': 0.195, 'neu': 0.805, 'pos': 0.0, 'compound': -0.6249}"
JohnCroix1,"RT @KyivIndependent: These are the indicative estimates of Russia’s combat losses as of May 5, according to the Armed Forces of Ukraine. ht…",2022-05-05 11:54:23+00:00,"{'neg': 0.195, 'neu': 0.805, 'pos': 0.0, 'compound': -0.6249}"
WordsmithSaxon,Russia continues unabated with their murder of Ukrainian citizens as if they were wild dogs with rabies while the w… https://t.co/WpA11k3xTV,2022-05-05 11:54:22+00:00,"{'neg': 0.19, 'neu': 0.81, 'pos': 0.0, 'compound': -0.6908}"
TurkiyeRE,"RT @BloombergUK: Russia's ""unprovoked and illegal invasion of Ukraine"" and China's Covid outbreak have ""exacerbated greatly"" the challenges…",2022-05-05 11:54:16+00:00,"{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.5574}"
MatthewsMarilyn,"RT @KyivIndependent: Ukrainian authorities say Shariy has been spreading disinformation to harm Ukraine's national security, while being pa…",2022-05-05 11:54:16+00:00,"{'neg': 0.16, 'neu': 0.731, 'pos': 0.11, 'compound': -0.2732}"
irinasmolenkova,RT @HannaLiubakova: #Russia Many of Russian citizens who died in Ukraine are the representatives of national minorities. These are the most…,2022-05-05 11:54:23+00:00,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.5574}"
MelbieToast,"RT @PhillipsPOBrien: The state of the war in two stories today. Keep your eyes on reinforcements, because that will determine the course of…",2022-05-05 11:54:23+00:00,"{'neg': 0.151, 'neu': 0.849, 'pos': 0.0, 'compound': -0.5994}"
Iehonatn,"RT @PhillipsPOBrien: The state of the war in two stories today. Keep your eyes on reinforcements, because that will determine the course of…",2022-05-05 11:54:16+00:00,"{'neg': 0.151, 'neu': 0.849, 'pos': 0.0, 'compound': -0.5994}"
